User,Forrest Gump,Shawshank Redemption,Pulp Fiction,Silence of the Lambs,"Matrix, The",Star Wars: Episode IV ,Jurassic Park,Braveheart,Terminator 2,Toy Story,American Beauty,Dances with Wolves,Fargo,The Lion King
Paula,5,Nan,2,4,5,2,5,5,5,5,4,Nan,Nan,5
Madhur,5,5,4.5,4,5,Nan,4.5,Nan,5,4,Nan,Nan,4.5,5
Mandana,Nan,Nan,4,5,5,2,4,5,5,4,Nan,Nan,Nan,5
Daniel,3,3,4.5,5,5,5,4.5,3,3.5,3,4,3,NaN,3
shaimaa,5,3,4,3,Nan,3,3,5,5,Nan,4,5,Nan,5
Edgar,4,3,5,4,4,5,3,4,3,4,5,Nan,Nan,3
Mitun,5,5,5,4,3,2,3,5,3,4,4,1,3,3
Georg,5,5,5,5,5,3,2,Nan,2,5,5,Nan,5,4
Hassan,-,5,-,-,5,4,4,-,4,-,-,4,-,4
Davis,3,NaN,3,5,5,3,3,2,2,4,2,NaN,NaN,4
arman,4,4,5,4,4,Nan,3,3,3,4,4,"3,5",5,4
Thomas,4,,2,1,3,,3,4,3.5,4,,4,,5
Joseph,5,2,2,3,2,Nan,Nan,3,5,2,4,2,3,5